index,URL,Title,Author,Year,Topic,Subtopic_1,Subtopic_2,Goal_Primary,Goal_Secondary,User,COVID19,Media Mix,Interactive,Method,Tool,Picture,Link,Picture_name,Context: Online,Context: Offline,Sonification_Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
,ASonicJourneyacrossuniverse,A Sonic Journey Across the Universe,SYSTEM Sounds/Munck Studios,2022,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Sound,No,Parameter Mapping,,n,https://www.bbc.co.uk/sounds/play/p0bcjr4z,,,,,,,,,,
,NilangikaFernando,Nilangika Fernando,Sri Lanka Credit Score,2022,Finance,,,Public Engagement,Research,General Public,,DataViz,No,Parameter Mapping,,,https://twitter.com/NilangikaF/status/1490594394784911362?s=20&t=MXIyK1VnRmmw9znqvH0mng,SriLankaCredit,,,,,,,,,
,Twitterdatawithhashtag#photography,Twitter data with hashtag #photography,Joachim Allhoff,2022,Social Media,,,Research,,General Public,,Sound,,Parameter Mapping,,,https://soundcloud.com/joachim-allhoff/sonification-of-twitter-data-with-hashtag-photography,PhotographyTwitterData,,,,,,,,,
,wavesofcovidsoundinsideICU,Can you hear a pandemic? This is what the waves of covid sound like inside the ICUs,"Sara I Belled, Belen Almendros and Raul Rivas (Colpisa Agency, Vocento)",2022,Epidemiology,,,Data Journalism,,General Public,1,DataViz,,Parameter Mapping,,,https://www.elcorreo.com/sociedad/salud/coronavirus-graficos/pandemia-coronavirus-sonido-uci-hospitales-espana-20220217132451-ntrc.html,UCI,,,,,,,,,
,Sonification-EnhancedLatticeModelAnimationsoftheProteinFoldingReaction,Sonification-Enhanced Lattice Model Animations of the Protein Folding Reaction,"Carla Scaletti, Meredith M. Rickard, Kurt J. Hebel, Taras V. Pogorelov, Stephen A. Taylor, and Martin Gruebele",2022,Physical Sciences,Biophysics,,Education,Research,Domain Experts,,Video,,Parameter Mapping,,,https://pubs.acs.org/doi/full/10.1021/acs.jchemed.1c00857,ProteinSonification,,,,,,,,,
,CosMonic,CosMonic,Rubén García-Benito,2021,Physical Sciences,Astronomy,Tool,Public Engagement,,,,,,Model Sonification,1,,http://rgb.iaa.es/cosmonic/,Cosmonic,,,,,,,,,
,StarSound,StarSound,"Jeff Cooke, Jeff Hannam (RMIT, Melbourne, Australia), Garry Foran (Swinburne University, Melbourne)",2021,Physical Sciences,Astronomy,Tool,Data Analysis,,,,,,Parameter Mapping,1,,https://www.jeffreyhannam.com/starsound,StarSound,,,,,,,,,
,EnviroBike,Enviro Bike,Bicrophonic Research Institute,2021,Physical Sciences,Earth Science,,Public Engagement,,,,,,Model Sonification,1,,https://sonicbikes.net/enviro-bike/,Enviro Bike,,,,,,,,,
,HighchartsSonificationStudio,Highcharts Sonification Studio,Highcharts and Georgia Tech,2021,Tool,,,Data Analysis,,,,,,Parameter Mapping,1,n,https://sonification.highcharts.com/#/,,,,,,,,,,
,STRAUSS,STRAUSS,James Trayford,2021,Physical Sciences,Astronomy,Tool,Data Analysis,,Researchers,,Yes/DataViz,,Parameter Mapping,1,n,https://github.com/james-trayford/strauss,,,Yes/DataViz,,,,,,"Chris: Although media mix is not a key feature, Media mix is sort of there because it can produce plots if you want it to",
,Colorscape-Huesintogrooves,Colorscape - Huesintogrooves,Kofi (IllestPreacha),2021,Art,,,Art,,,,,,Parameter Mapping,,,https://colorscape.illestpreacha.com/huesintogrooves,Colorscape,,,,,,,,,
,TheNaturalLottery,The Natural Lottery,Duncan Geere & Miriam Quick (Loud Numbers),2021,Climate Change,,,Public Engagement,,,,,,Parameter Mapping,,,https://anchor.fm/loudnumbers/episodes/The-Natural-Lottery-e11v806,The Natural Lottery,,,,,,,,,
,Hydrologybasics:theArdècheriveratSauze,Hydrology basics:  the Ardèche river at Sauze,Benjamin Renard and Chloé Le Bescond,2021,Earth Science,Geography,,Research,,,,,,Parameter Mapping,,,https://globxblog.inrae.fr/hegs/,ArdecheRiver,,,,,,,,,
,HydrologicalPrincipalComponentAnalysis,Hydrological Principal Component Analysis,Benjamin Renard and Chloé Le Bescond,2021,Earth Science,Geography,,Research,,,,,,Parameter Mapping,,,https://globxblog.inrae.fr/pca/,PCA,,,,,,,,,
,VoxAeterna-TheCOVIDVariations,Vox Aeterna - The COVID Variations,Rafael Bresciani,2021,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,https://rafaelbresciani.com/voxaeterna,Vox Aeterna,,,,,,,,,
,TheSoundofCrownsandTears,The Sound of Crowns and Tears,Simon Huwiler,2021,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,https://www.youtube.com/watch?v=DqfrOPs2pKM,Covid-19 visualization with a music box,,,,,,,,,
,LondonUndertheMicroscope,London Under the Microscope,"Valentina D'Efilippo, Duncan Geere (Loudnumbers) and Arpad Ray",2021,Epidemiology,,,Public Engagement,,,1,Yes/Video,,Parameter Mapping,,,https://vimeo.com/571217327,LUTM,Player,,,,,,,,
,Colorscape-Dipincode,Colorscape - Dipincode,Kofi (IllestPreacha),2021,Food and Beverage,,,Art,,,,,,Parameter Mapping,,,https://colorscape.illestpreacha.com/dipincode-sonification,Dipincode,,,,,,,,,
,TastingNotes,Tasting Notes,Duncan Geere & Miriam Quick (Loud Numbers),2021,Food and Beverage,,,Public Engagement,,,,,,Parameter Mapping,,,https://anchor.fm/loudnumbers/episodes/Tasting-Notes-e12jab3,Tasting Notes,,,,,,,,,
,DiProtonieDati,Di Protonie Dati,HER: She Loves Data,2021,Health,,,Art,,,,,,Parameter Mapping,,,https://www.he-r.it/project/di-protoni-e-dati/,Di Protonie Dati,,,,,,,,,
,Spiderwebsonification,Spider web sonification,"Tomas Saraceno and Ian Hattwick, Isabelle Su, Christine Southworth, Evan Ziporyn and Markus Buehler (MIT)",2021,Life Sciences,Biology,,Art,,,,,,Parameter Mapping,,,https://www.youtube.com/watch?v=UBDm_B8cMs8,Spider web sonification,,,,,,,,,
,Supernovasonification,Supernova sonification,Raffaella Margutti,2021,Physical Sciences,Astronomy,,Accessibility,,,,,,Parameter Mapping,,n,https://scholar.harvard.edu/asoderberg/supernova-sonification,,,,,,,,,,
,Jewel-BoxStarClusterSonification,Jewel-Box Star Cluster Sonification,Joaquín Pino,2021,Physical Sciences,Astronomy,,Art,,,,,,Parameter Mapping,,,https://vimeo.com/621744665,JewelBox,,,,,,,,,
,Sonoplanet,Sonoplanet,Phia Damsma and John Norgaard (Sonokids),2021,Physical Sciences,Astronomy,,Education,,,,,,Parameter Mapping,,,https://www.youtube.com/watch?v=baVtw9MBrA8,Sonoplanet,,,,,,,,,
,SoundscapeinTimesofChange,Soundscape in Times of Change,"Sara Lenzi, Permagnus Lindborg, Juan Sádaba",2021,Urbanism,,,Research,,Domain Experts,1,,,Audification,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2021.570741/full,SoundscapeinChange,,,,,,,,,
,ChangestoanurbanmarinasoundscapeduringCOVID-19lockdowninGuadeloupe,Changes to an urban marina soundscape during COVID-19 lockdown in Guadeloupe,Frédéric Bertuccia David Lecchini Céline Greeven Rohan M.Brookere Lana Minier Sébastien Cordonnier Malika René-Trouillefou Eric Parmentier,2021,Urbanism,,,Research,,Domain Experts,1,,,Audification,,,https://www.sciencedirect.com/science/article/pii/S0269749121014809,GuadalupeSoundscape,,,,,,,,,
,ThesoundofsilenceinGranadaduringtheCOVID-19lockdown,The sound of silence in Granada during the COVID-19 lockdown,"Jerónimo Vida Manzano, José Antonio Almagro Pastor, Rafael García Quesada, Francesco Aletta, Tin Oberman, Andrew Mitchell, and Jian Kang",2021,Urbanism,,,Research,,Domain Experts,1,,,Audification,,n,https://digibug.ugr.es/handle/10481/66381,,,,,,,,,,
,AudioUniverse:TouroftheSolarSystem,Audio Universe: Tour of the Solar System,"Chris Harrison, James Trayford, Nic Bonne, Leigh Harrison ",2021,Physical Sciences,Astronomy,,Accessibility,,,,Yes/Video,,Parameter Mapping,,n,https://www.audiouniverse.org,,,,,,,,,,
,ThesoundofthesolarwindatVenus,The sound of the solar wind at Venus,European Space Agency (ESA),2021,Physical Sciences,Astronomy,,Research,,General Public,,No,,Audification,,n,https://soundcloud.com/esa/the-sound-of-the-solar-wind-at-venus/s-HfbJ9CvJYn2,,,,,,,,,,
,ExploringthehistoryoftheearlyMilkyWaywithsound,Exploring the history of the early Milky Way with sound,"Montalbán, J., Mackereth, J.T., Miglio, A. et al. Leibniz Institute for Astrophysics Potsdam (AIP)",2021,Physical Sciences,Astronomy,,Research,,Researchers,,Yes/DataViz,,Audification,,,https://www.aip.de/en/news/exploring-the-history-of-the-early-milky-way-with-sound/,MilkyWay,,,,,,,,,
,OpenSpaceSonification,Open Space Sonification,"Elias Elmquist, Malin Ejdbo, Alexander Bock, Niklas Ronnberg",2021,Physical Sciences,Astronomy,,Education,,General Public,,Yes/Installation,,Parameter Mapping,,,https://vimeo.com/528822742,OpenSpace,,,,,,,,,
,SonificationofHyptension&HeartDisease,Sonification of Hyptension & Heart Disease,Kofi (Illestpreacha),2021,Health,,,Public Engagement,,General Public,,,,Parameter Mapping,,,https://www.afyako.com/data-visuals/data-sonification,Hypertension,,,,,,,,,
,DataFarmsSonification,Data Farms Sonification,"Mod and Institute for Culture and Society, Western Sydney University",2021,Internet,Computer Science,,Public Engagement,,General Public,,,,Model Sonification,,,https://www.datafarms.org/2021/12/08/data-farms-sonification-an-experiment-in-data-modelling-and-spatial-audio/,DataFarms,,,,,,,,,
,"DataSonification:Stellar,Galactic,andBlackHole","Data Sonification: Stellar, Galactic, and Black Hole","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)",2021,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/Video,No,Parameter Mapping,,,https://chandra.si.edu/photo/2021/sonify3/,StellarGalacticBlackHole,,,,,,,,,
,"Jingle,Pluck,andHum:SoundsfromSpace","Jingle, Pluck, and Hum: Sounds from Space","NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)",2021,Physical Sciences,Astronomy,,Public Engagement,,General Public,,Yes/Video,No,Parameter Mapping,,,https://chandra.harvard.edu/photo/2021/sonify4/,JinglePluckHum,,,,,,,,,
,Tiltification,Tiltification,Tim Ziemer and the Master programs' students,2021,Tool,Physical Sciences,,Education,Research,General Public,,Yes/GUI,Yes,Parameter Mapping,1,,https://tiltification.uni-bremen.de/index.html,Tiltification,,,,,,,,,
,ASonificationofthezCOSMOSGalaxyDataset:ahistoryofgalaxies,A Sonification of the zCOSMOS Galaxy Dataset: a history of galaxies,"Sandro Bardelli, Claudia Ferretti, Giorgio Presti, Maurizio Rinaldi",2021,Physical Sciences,Astronomy,,Public Engagement,Research,General Public,,Sound,No,Parameter Mapping,,n,https://www.lim.di.unimi.it/demo/zcosmos.php,,,,,,,,,,
,SocialMilieusSonification,Social Milieus Sonification,Joachim Allhoff,2021,Sociology,,,Research,,General Public,,Sound,,Parameter Mapping,,n,https://soundcloud.com/joachim-allhoff/social-milieus-sonification-1,,,,,,,,,,
,Astronify,Astronify,Clara Brasseur and Scott Fleming,2020,Physical Sciences,Astronomy,Tool,Accessibility,,,,,,Parameter Mapping,1,,https://astronify.readthedocs.io/en/latest/,Astronify,,,,,,,,,
,A4BD-AstronomyfortheBlindandtheDisabled,A4BD - Astronomy for the Blind and the Disabled,University of Patras,2020,Physical Sciences,Astronomy,,Accessibility,,,,,,Parameter Mapping,1,,https://www.a4bd.eu/,a4bd,,,,,,,,,
,Soni-Py,Soni-Py,Locke Patton and Emily Levesque,2020,Physical Sciences,Astronomy,Tool,Research,,Researchers,,Yes/GUI,,Parameter Mapping,1,,https://github.com/lockepatton/sonipy,Soni-Py,,,,,,Built by astronomers but general-purpose,,,
,MajorFloodEvents,Major Flood Events,Benjamin Renard,2020,Earth Science,Geography,,Education,,,,,,Parameter Mapping,,,https://globxblog.inrae.fr/sonification-sequencing/,FloodEvents,,,,,,,,,
,Unemploymentrate,Unemployment rate,Jordan Wirfs-Brock,2020,Economics,,,Public Engagement,,Public,,No,No,Parameter Mapping,,,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,Unemployment rate,Radio Streaming,,,,https://www.marketplace.org/2020/06/24/heres-what-the-crescendo-of-unemployment-sounds-like/,Sonification is within the podcast episode,No,,
,Multi-modalCOVID19analytics,Multi-modal COVID19 analytics,Stephen Roddy,2020,Epidemiology,,,Data Analysis,,Public,1,Yes,Yes,Parameter Mapping,,,https://stephenroddy.github.io/data-scape/,Multi-modal COVID19 analytics,Website,,,,,Sonification is an interactive webpage,https://stephenroddy.github.io/data-scape/,,
,SonificationofCOVID19data,Sonification of COVID19 data,Romain Vuillemot,2020,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,https://observablehq.com/@romsson/sonification-of-covid-19-data,Sonification of COVID-19 data,,,,,,,,,
,EveryUKCOVID19datasonificationDeathbyDay-fromMarch5th2020toJune23rd2020,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020,Jamie Perera,2020,Epidemiology,,,Public Engagement,,Public,1,Sound,No,Parameter Mapping,,,https://soundcloud.com/jamieperera/sonification-every-uk-covid-19-death-by-day,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020,Player,,,,,Sonification is on Soundcloud,No,,
,deathIncrease,deathIncrease,Yann Seznec,2020,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,https://www.yannseznec.com/works/deathincrease/,deathIncrease,,,,,,,,,
,COVID19spreadingrates,COVID19 spreading rates,TULP interactive,2020,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,http://covidspreadingrates.org/,COVID19 spreading rates,,,,,,,,,
,COVID19datasonification,COVID19 data sonification,Chelidon Frame,2020,Epidemiology,,,Public Engagement,,Public,1,Yes/Graphics,No,Model Sonification,,,https://covid19-data-sonification.space/,COVID19 data sonification,Website,,,,,Sonification is an interactive webpage,https://covid19-data-sonification.space/,,
,Coronavirus:HowcanweimaginethescaleofCovid'sdeathtoll?,Coronavirus: How can we imagine the scale of Covid's death toll?,BBC News,2020,Epidemiology,,,Public Engagement,,,1,,,Parameter Mapping,,,https://www.bbc.co.uk/news/resources/idt-7464500a-6368-4029-aa41-ab94e0ee09fb,Coronavirus - How can we imagine the scale of Covid's death toll,,,,,,,,,
,ViralCounterpointoftheCOVID19SpikeProtein,Viral Counterpoint of the COVID19 Spike Protein,"Markus J. Buehler, MIT",2020,Epidemiology,,,Research,,Domain Experts,1,No,No,Parameter Mapping,,,https://soundcloud.com/user-275864738/viral-counterpoint-of-the-coronavirus-spike-protein-2019-ncov?in=user-275864738/sets/protein-counterpoint,Viral Counterpoint of the COVID19 Spike Protein,Player,,,,,Sonification is on Soundcloud,No,,
