index,Title,Author,Year,Topic _old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,The Sound of Crowns and Tears,Simon Huwiler,2021,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,,1,,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=DqfrOPs2pKM,,,,,,Covid-19 visualization with a music box
,Spider web sonification,"Tomas Saraceno and Ian Hattwick, Isabelle Su, Christine Southworth, Evan Ziporyn and Markus Buehler (MIT)",2021,Life sciences,Life sciences,Biology,,Art,Art,,,,,,,Parameter Mapping,,,,https://www.youtube.com/watch?v=UBDm_B8cMs8,,,,,,Spider web sonification
,Di Protonie Dati,HER: She Loves Data,2021,Health,Health,,,Art,Art,,,,,,,Parameter Mapping,,,,https://www.he-r.it/project/di-protoni-e-dati/,,,,,,Di Protonie Dati
,Noisy City. Audible Data Visualization in Brussels,Jetpack,2020,Environment,Physical Sciences,Earth Science,,Public Engagement,Public Engagement,Public,,Website,,Yes,Yes,Parameter Mapping,,,,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,,Sonification is an interactive webpage,https://noisy-city.jetpack.ai/?fbclid=IwAR2NVC7pgn44UhY3iomW1BLfFYENt3EIeEu2qab-xQxtcYpsoaIQZVjG3a0,,,Noisy City. Audible Data Visualization in Brussels
,Scientists use sound to track tiny organisms in the body,Shapiro,2020,Biology,Life Sciences,Biology,,Medical investigation,Research,Domain Experts,,,Research Lab,No,No,Audification,,n,,https://www.nature.com/articles/nature25021,,Cannot listen to the sonification,No,https://www.nature.com/articles/nature25021,,
,COVID19 data sonification,Chelidon Frame,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,Public,1,Website,,Yes/Graphics,No,Model Sonification,,,,https://covid19-data-sonification.space/,,Sonification is an interactive webpage,https://covid19-data-sonification.space/,,,COVID19 data sonification
,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020,Jamie Pereira,2020,Epidemiology,Epidemiology,,,Public Engagement,Public Engagement,Public,1,Player,,No,No,Parameter Mapping,,,,https://soundcloud.com/jamieperera/sonification-every-uk-covid-19-death-by-day,,Sonification is on Soundcloud,No,,,Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020
,Viral Counterpoint of the COVID19 Spike Protein,"Markus J. Buehler, MIT",2020,Epidemiology,Epidemiology,,,Scientific Investigation,Research,Domain Experts,1,Player,,No,No,Parameter Mapping,,,,https://soundcloud.com/user-275864738/viral-counterpoint-of-the-coronavirus-spike-protein-2019-ncov?in=user-275864738/sets/protein-counterpoint,,Sonification is on Soundcloud,No,,,Viral Counterpoint of the COVID19 Spike Protein
,COVID19 listening project,University of Surrey,2020,Biology,Life Sciences,Biology,,Medical investigation,Research,Domain Experts,1,Player,Research Lab,Yes,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=gj50HvWtll8&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=gj50HvWtll8&feature=emb_logo,https://www.surrey.ac.uk/news/listening-covid-19-clues-understanding-coronavirus-through-musical-transformations,https://enzodesena.github.io/covid-listening-project/,COVID19 listening project
,Multi-modal COVID19 analytics,Stephen Roddy,2020,Epidemiology,Epidemiology,,,Data Analysis,Data Analysis,Public,1,Website,,Yes,Yes,Parameter Mapping,,,,https://stephenroddy.github.io/data-scape/,,Sonification is an interactive webpage,https://stephenroddy.github.io/data-scape/,,,Multi-modal COVID19 analytics
,Sounds from around the Milky Way,"NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (Matt Russo/Andrew Santaguida)",2020,Astronomy,Physical Sciences,Astronomy,,Inclusivity,Inclusivity,Public,,Player,,Yes,No,Parameter Mapping,,,,https://chandra.si.edu/photo/2020/sonify/animations.html,,"Sonifcation is a video, you can download it from the webpage",https://chandra.si.edu/photo/2020/sonify/animations.html,https://www.republicworld.com/technology-news/science/nasa-data-sonification-of-spaces-cosmic-reef-nebulae.html,,Sounds from around the Milky Way
