index,URL,Title,Author,Year,Topic,Subtopic_1,Goal_Primary,User,COVID19,Media Mix,Interactive,Method,Tool,Awards,Picture,Link,Picture_name,Context: Online,Context: Offline,Art_Blog,Link_to_Sonification_Art_Blog,Link to news,Preview of the sonification on website,Thumbnail Image,Link to explanation,Description
466,HoldtheLine,Hold the Line,Duncan Geere & Miriam Quick (Loud Numbers),2024,Climate Change,Climate Change,Data Journalism,General Public,,Sound,,Parameter Mapping,,Awards,,https://podcasters.spotify.com/pod/show/loudnumbers/episodes/Hold-the-Line-e2i78vs,holdtheline,,,,,,,,,"RainMind is designed as a web-based application that transforms the physiological data into a dynamic natural soundscape, supporting self-reflection throughout a day. We used the Heart Rate Variability (HRV), Electrical Skin Activity (EDA), and Heart Rate (HR) to represent a user’s temporal stress level changes. The sounds of rain, thunder, and bird song, which are commonly found in the rainy-day soundscape, were chosen to represent variations in the three physiological measures."
467,HeatChords,Heat Chords: Strains of Stress,Liuhuaying Yang,2024,Climate Change,Climate Change,Research,General Public,,DataViz,1,Parameter Mapping,,,,https://vis.csh.ac.at/heat-chords/,heatchords,,,,,,,,,
469,VoterIntention,Voter intention polling - 2020 to 2024 UK General Election,James Trayford,2024,Social Sciences,Politics,Research,General Public,,DataViz,,Parameter Mapping,,,,https://www.youtube.com/watch?v=oGGt61mS1Qw&t=65s,VoterIntention,,,,,,,,,
470,GravitationalWaveSky,Gravitational Wave Sky Virtual Reality Sonification,James Trayford,2024,Physical Sciences,Astronomy,Research,General Public,,DataViz,,Parameter Mapping,,,,https://www.youtube.com/watch?v=iqomrzRCEts,GravitationalWaveSky,,,,,,,,,
475,GrowingBlackHole,Sonification of Growing Black Hole,"Rose Shepherd, Chris Harrison and James Trayford",2024,Physical Sciences,Astronomy,Public Engagement,General Public,,DataViz,,Parameter Mapping,,,n,https://www.audiouniverse.org/research/sonifications/growing-black-hole,,,,,,,,,,
477, BeKind,"Be Kind, Rewind!",Benjamin Renard,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,,https://vimeo.com/815008124,BeKind,,,,,,,,,
478,UniversePast,Listen to the Universe's Past,"NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (M. Russo, A. Santaguida)",2024,Physical Sciences,Astronomy,Public Engagement,General Public,,DataViz,,Parameter Mapping,,,,https://chandra.si.edu/blog/node/899,UniversePast,,,,,,,,,
480,ItaliaNOAATemperature,Italia - R script - NOAA sea surface temperature as music 1981 - 2022,Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=Xy3_cp5bB-w,,,,,,,,,,
481,BostonNOAATemperature,"Boston, MA, USA - R script - NOAA sea surface temperature as music 1981 - 2022",Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=d6mmk3TPdEM,,,,,,,,,,
482,NYCNOAATemperature,"New York, NY, USA - R script - NOAA sea surface temperature as music 1981 - 2022",Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=1JN9d5uvu5M,,,,,,,,,,
483,SanFranciscoNOAATemperature,"San Francisco, CA, USA - R script -  NOAA sst as music 1981 - 2022",Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=cyiE96XWBcQ,,,,,,,,,,
484,SeattleNOAATemperature,"Seattle, WA, USA - R script - NOAA sea surface temperature as music 1981 - 2022",Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=LMmj7-qyImo,,,,,,,,,,
485,EspañaNOAATemperature,España - R script - NOAA sea surface temperature as music 1981 - 2022,Carlos Pacheco,2024,Earth Science,Earth Science,Research,General Public,,DataViz,,Parameter Mapping,,,n,https://www.youtube.com/watch?v=c8Od_q3VDmI,,,,,,,,,,
486,MicrobialSymphony,Microbial Symphony,Max Graze,2024,Life Sciences,Biology,Research,Domain Experts,,DataViz,1,Parameter Mapping,,Awards,,https://microbial-symphony.vercel.app/,MicrobialSymphony,,,,,,,,,
487,FUNGI,FUNGI,Ancoica Studio / Marco Barotti,2024,Life Sciences,Biology,Art,General Public,,Sound,,Parameter Mapping,,Awards,,www.anecoica.net/fungi,FUNGI,,,,,,,,,
488,SoundingNumbers,Sounding Numbers,Miguel Angel Crozzoli,2024,Climate Change,Climate Change,Art,General Public,,Sound,,Parameter Mapping,,Awards,n,https://drive.google.com/drive/folders/1d-bcNKlD8NchLrGMfEgBTEwDSqmHjJT8?usp=sharing,,,,,,,,,,
489,Macromicroscope,Macromicroscope: shifting scales in a heating world,Rodolfo Almeida,2024,Climate Change,Climate Change,Research,General Public,,DataViz,1,Parameter Mapping,,Awards,,https://macromicroscope.com,Macromicroscope,,,,,,,,,
490,Sastrugi ,Sastrugi - Sounds of the Antarctic Sea Ice,Diana Chester and Sean Minhui Tashi Chua,2024,Climate Change,Climate Change,Art,General Public,,Video,,Parameter Mapping,,Awards,,https://drive.google.com/drive/folders/1g4BfgPaVPxpz4lLsl9eaEeyllFRpT1As?usp=drive_link,Sastrugi,,,,,,,,,
491,Aurora,Aurora for flute and Max Msp Jitter,Wei Zhao,2024,Climate Change,Climate Change,Art,General Public,,Sound,,Parameter Mapping,,Awards,n,https://pan.baidu.com/s/1rXgCJi3EJaS1uk4CRu581Q?pwd=x587,,,,,,,,,,
493,Scorched Earth,Scorched Earth,Duncan Geere & Miriam Quick (Loud Numbers),2024,Climate Change,Climate Change,Art,General Public,,Video,,Parameter Mapping,,Awards,,https://www.youtube.com/watch?v=Ppw2utyxEbo,Scorched Earth,,,,,,,,,
494,Hydrogenbonding,Hydrogen bonding heterogeneity correlates with protein folding transition state passage time as revealed by data sonification,"Carla Scaletti, Martin Gruebele et al",2024,Life Sciences,Biology,Data Analysis,Domain Experts,,Sound,1,Parameter Mapping,,Awards,n,https://carlascaletti.com/wp-content/uploads/2024/12/Sonification-Award-application-241209.pdf,,,,,,,,,,
496,SOMson,SOMson. Sonification of Multidimensional Data in Kohonen Maps,Simon Linke & Tim Ziemer,2024,Applied Sciences,Computer Science,Data Analysis,Domain Experts,,DataViz,1,Parameter Mapping,,Awards,n,https://simon-linke.github.io/SOMson/,,,,,,,,,,
