index,Title,Author,Year,Topic_old,Topic_new,Subtopic #1,Subtopic #2,Goal_old,Goal_new,User,COVID19,Context: Online,Context: Offline,Media_Mix,Interactive,Type,Tool,Picture,Sonification_Art_Blog,Link,Link_to_Sonification_Art_Blog,Preview of the sonification on website,Thumbnail Image,Link to news,Link to explanation,Picture_name
,San Giovanni Elemosinario,Jon Bellona and students,2013,,Architecture,,,,Education,,,,,,,Parameter Mapping,,,1,https://vimeo.com/77712677,,,,,,SanGiovanni
,Body Language - How pop musicians sing about the body,Brian Foo,2015,Music,Art,,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/149371070,,Sonifcation is a video,https://vimeo.com/149371070,https://datadrivendj.com/tracks/body/,,Body Language - How pop musicians sing about the body
,Lee and Jackson,Brian Foo,2015,Fine Arts,Art,,,Art,Art,,,Player,,Yes,No,Parameter Mapping,,,,https://vimeo.com/129123456,,Sonifcation is a video,https://vimeo.com/129123456,https://datadrivendj.com/tracks/painters/,,Lee and Jackson
,Mesh,Inouk Demers,2017,,Art,,,,Inclusivity,,,,,,,Model Sonification,,,1,https://www.youtube.com/watch?v=1MIQs8NSfWI&utm_content=buffer3c76e&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,,,,,MESH
,Piano Piece,Judy Twet,2019,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,,Public Venue (live performance),No,No,Parameter Mapping,,,,https://www.youtube.com/watch?v=eYXxAE5grRQ,,You can listen to the sonification live on TED video,No,,,Piano Piece
,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,Katja Striedelmeyer,2019,Climate Change,Climate Change,,,Public Engagement,Public Engagement,,,,,,,Parameter Mapping,,,,https://vimeo.com/326617760,,,,,,Shifting Apple Blossom in Bremen - Data Sonification with a Music Box
,Hear Climate Data Turned Into Music,Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford,2018,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,,Yex/VIdeo,No,Parameter Mapping,,,,https://www.youtube.com/watch?time_continue=26&v=ONuA9HmkF3M&feature=emb_logo,,Sonifcation is a video,https://www.youtube.com/watch?v=ONuA9HmkF3M&feature=emb_logo,,,Hear Climate Data Turned Into Music
,Climate Symphony,Jamie Perera,2017,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,Public Venue (live performance),Yes/Video,No,Parameter Mapping,,,,https://soundcloud.com/disobedientfilms,,Sonification is on Soundcloud,No,https://www.disobedientfilms.com/climate-change-data-is-being-transformed-wired,,Climate Symphony
,Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise,,2016,Climate Change,Climate Change,,,Scientific Investigation,Research,Domain Experts,,,Research Lab,Yes/Graphics,No,Audification,,,,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html?itid=lk_inline_manual_7,,Cannot listen to the sonification,https://www.washingtonpost.com/video/national/health-science/listen-to-an-ice-shelf-melting/2018/10/21/8c17711e-d55d-11e8-8384-bcc5492fef49_video.html,https://www.washingtonpost.com/energy-environment/2018/10/22/listen-eerie-song-antarctica-melting/,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2018GL079665,Near Surface Environmentally Forced Changes in the Ross Ice Shelf Observed With Ambient Seismic Noise
,"Planetary Bands, Warming World",Daniel Crawford&Scott S. George/University of Minnesota,2015,Climate Change,Climate Change,,,Public Engagement,Public Engagement,Public,,Player,Public Venue (live performance),No,No,Parameter Mapping,,,,https://vimeo.com/127083533,,Sonifcation is a video,https://vimeo.com/127083533,https://www.co2.earth/global-warming-music-for-string-quartet,,"Planetary Bands, Warming World"
