Title,Author,Year,Topic,Goal,COVID19
Sounds from around the Milky Way,"NASA/CXC/SAO/K.Arcand, SYSTEM Sounds (Matt Russo/Andrew Santaguida)",2020,Astronomy,Inclusivity,
Geminids Meteor Shower,Christian Basl,2020,Astronomy,Public Engagement,
The THC Code,Deraout ft. GenM,2020,Life sciences,Art,
Real-time audio and visual display of the Coronavirus genome,Mark Temple,2020,Life sciences,Data Analysis,1
DNA Sonification - Sex determining region of the Y (SRY) Human Orangutan,Edward Martin,2020,Life sciences,Public Engagement,
Scientists use sound to track tiny organisms in the body,Shapiro,2020,Life sciences,Research,
COVID19 listening project,University of Surrey,2020,Life sciences,Research,1
Unemployment rate,Jordan Wirfs-Brock,2020,Economy,Public Engagement,
Mutual Air,Rosten Woo,2020,Earth sciences,Art,
Air Pollution During Lockdown,Pedro Sarmento,2020,Earth sciences,Data Analysis,
Noisy City. Audible Data Visualization in Brussels,Jetpack,2020,Earth sciences,Public Engagement,
Multi-modal COVID19 analytics,Stephen Roddy,2020,Epidemiology,Data Analysis,1
COVID19 data sonification,Chelidon Frame,2020,Epidemiology,Public Engagement,1
Every UK COVID19 data sonification Death by Day - from March 5th 2020 to June 23rd 2020,Jamie Pereira,2020,Epidemiology,Public Engagement,1
COVID19 spreading rates,TULP interactive,2020,Epidemiology,Public Engagement,1
Coronavirus: How can we imagine the scale of Covid's death toll?,BBC News,2020,Epidemiology,Public Engagement,1
Sonification of COVID19 data,Romain Vuillemot,2020,Epidemiology,Public Engagement,1
deathIncrease,Yann Seznec,2020,Epidemiology,Public Engagement,1
Viral Counterpoint of the COVID19 Spike Protein,"Markus J. Buehler, MIT",2020,Epidemiology,Research,1
Stock Market Data,Jordan Wirfs-Brock,2020,Finance,Public Engagement,
Care Tunes for Families,Chen Chou,2020,Health,Public Engagement,1
The Masked Scales: Sonification of COVID19 Lockdown,Artash Nath and Arushi Nath,2020,Mobility,Public Engagement,1
Hear the Blind Spot,Together! with Kim Albrecht,2020,Social equality,Inclusivity,
Sonic Cities,Arianna Salazar Miranda and Dylan Halpern,2020,Urbanism,Public Engagement,1
Sonification of Hubble Telescope,NASA/Hubble/SYSTEM Sounds (Matt Russo/Andrew Santaguida),2019,Astronomy,Public Engagement,
Translating Proteins into sound for designing new proteins,"Markus J. Buehler, MIT",2019,Life sciences,Research,
Piano Piece,Judy Twet,2019,Climate Change,Public Engagement,
Shifting Apple Blossom in Bremen - Data Sonification with a Music Box,Katja Striedelmeyer,2019,Climate Change,Public Engagement,
Sonification for cyber-attacks on water distribution systems,"Sara Lenzi, Ginevra Terenghi, Riccardo Taormina, Stefano Galelli, Paolo Ciuccarelli",2019,Cybersecurity,Monitoring,
Turning the yield curve into,"Alan Smith, FT",2019,Finance,Data Analysis,
Skin cancer detection by sonification,Avi Dascalu and Eli David,2019,Health,Data Analysis,
The Silent Cries of China Depressed Netizens,Liu Chang,2019,Health,Public Engagement,
Mars Soundscape,NASA/Domenico Vicinanza,2018,Astronomy,Public Engagement,
Astronomy Sounds of the Month,Greg Salvesen,2018,Astronomy,Public Engagement,
Multivariable Data Sonification - Solar Activities,Gregorio Panerai,2018,Astronomy,Research,
Whales Call,Google AI + NOAA (National Oceanic and Atmospheric Administration),2018,Life sciences,Research,
Sonification of Salmon Migration in the Snake River,"Ben Robertson, Dr Middleton, Dr Hegg",2018,Life sciences,Research,
Hear Climate Data Turned Into Music,Chris Chafe of the Center for Computer Research in Music and Acoustics at Stanford,2018,Climate Change,Public Engagement,
Electric Acoustic,"Gray Crawford, Shengzhi Wu, Devika Singh, and Dan Lockton",2018,Energy,Public Engagement,
56Fe (2018),Falk Morawitz,2018,Earth sciences,Art,
On The Extinction Of A Species,Falk Morawitz,2018,Earth sciences,Art,
Tower of Hanoi,Phillp Hermans,2018,Gaming,Education,
Commute,Ludovic Riffault,2018,Mobility,Public Engagement,
The Sound and the Social - Sonification in Social Research,Joachim Allhoff,2018,Sociology,Research,
Reimagine The Game,The Economist,2018,Sport,Public Engagement,
Sonification of the Total Solar Eclipse August 2017,Wayne Grim,2017,Astronomy,Art,
TRAPPIST-1,SYSTEM Sounds,2017,Astronomy,Public Engagement,
An auditory display tool for DNA sequence analysis,Mark Temple,2017,Life sciences,Data Analysis,
Climate Symphony,Jamie Perera,2017,Climate Change,Public Engagement,
SoNSTAR,Paul Vickers,2017,Cybersecurity,Monitoring,
Finland As Experienced By The Sea,Falk Morawitz,2017,Earth sciences,Art,
"An empty stream, a great silence, an impenetrable forest","Sara Lenzi, Stefano Silvestri, Giosue Grassia",2017,Earth sciences,Art,
While I was not there,Sara Lenzi,2017,Earth sciences,Art,
Res Extensae,Sara Lenzi,2017,Earth sciences,Public Engagement,
The sound of a falling currency,"Neal Razzell, BBC",2017,Finance,Data Journalism,
Making music from diabetes data,Zack Moir,2017,Health,Public Engagement,
